Economy,ADB Country Code,Sector,Country 2018 GDP,Scenario,as % of total GDP,in $ Mn,Employment (in 000),as % of sector GDP,as % of sector employment
Japan,JPN,_All,4971323.08,'Additional impact under Longer containmentlarger demand shock',nana ,na,na,na
Republic of Korea,KOR,'AgricultureMining and Quarrying',1619423.701,'Additional impact under Longer containmentlarger demand shock',nana ,na,na,na
Republic of Korea,KOR,'BusinessTradePersonaland Public Services',1619423.701,'Additional impact under Longer containmentlarger demand shock',nana ,na,na,na
Republic of Korea,KOR,Hotel and restaurants and Other Personal Services,1619423.701,'Additional impact under Longer containmentlarger demand shock',nana ,na,na,na
Republic of Korea,KOR,'Light/Heavy ManufacturingUtilitiesand Construction',1619423.701,'Additional impact under Longer containmentlarger demand shock',nana ,na,na,na
Republic of Korea,KOR,Transport services,1619423.701,'Additional impact under Longer containmentlarger demand shock',nana ,na,na,na
Republic of Korea,KOR,_All,1619423.701,'Additional impact under Longer containmentlarger demand shock',nana ,na,na,na
Lithuania,LTU,'AgricultureMining and Quarrying',53429.06643,'Additional impact under Longer containmentlarger demand shock',nana ,na,na,na
Lithuania,LTU,'BusinessTradePersonaland Public Services',53429.06643,'Additional impact under Longer containmentlarger demand shock',nana ,na,na,na
Lithuania,LTU,Hotel and restaurants and Other Personal Services,53429.06643,'Additional impact under Longer containmentlarger demand shock',nana ,na,na,na
Lithuania,LTU,'Light/Heavy ManufacturingUtilitiesand Construction',53429.06643,'Additional impact under Longer containmentlarger demand shock',nana ,na,na,na
Lithuania,LTU,Transport services,53429.06643,'Additional impact under Longer containmentlarger demand shock',nana ,na,na,na
Lithuania,LTU,_All,53429.06643,'Additional impact under Longer containmentlarger demand shock',nana ,na,na,na
Luxembourg,LUX,'AgricultureMining and Quarrying',70885.32588,'Additional impact under Longer containmentlarger demand shock',nana ,na,na,na
Luxembourg,LUX,'BusinessTradePersonaland Public Services',70885.32588,'Additional impact under Longer containmentlarger demand shock',nana ,na,na,na
Luxembourg,LUX,Hotel and restaurants and Other Personal Services,70885.32588,'Additional impact under Longer containmentlarger demand shock',nana ,na,na,na
Luxembourg,LUX,'Light/Heavy ManufacturingUtilitiesand Construction',70885.32588,'Additional impact under Longer containmentlarger demand shock',nana ,na,na,na
Luxembourg,LUX,Transport services,70885.32588,'Additional impact under Longer containmentlarger demand shock',nana ,na,na,na
Luxembourg,LUX,_All,70885.32588,'Additional impact under Longer containmentlarger demand shock',nana ,na,na,na
Latvia,LVA,'AgricultureMining and Quarrying',34409.22918,'Additional impact under Longer containmentlarger demand shock',nana ,na,na,na
Latvia,LVA,'BusinessTradePersonaland Public Services',34409.22918,'Additional impact under Longer containmentlarger demand shock',nana ,na,na,na
Latvia,LVA,Hotel and restaurants and Other Personal Services,34409.22918,'Additional impact under Longer containmentlarger demand shock',nana ,na,na,na
Latvia,LVA,'Light/Heavy ManufacturingUtilitiesand Construction',34409.22918,'Additional impact under Longer containmentlarger demand shock',nana ,na,na,na
Latvia,LVA,Transport services,34409.22918,'Additional impact under Longer containmentlarger demand shock',nana ,na,na,na
Latvia,LVA,_All,34409.22918,'Additional impact under Longer containmentlarger demand shock',nana ,na,na,na
Mexico,MEX,'AgricultureMining and Quarrying',1220699.48,'Additional impact under Longer containmentlarger demand shock',nana ,na,na,na
Mexico,MEX,'BusinessTradePersonaland Public Services',1220699.48,'Additional impact under Longer containmentlarger demand shock',nana ,na,na,na
Mexico,MEX,Hotel and restaurants and Other Personal Services,1220699.48,'Additional impact under Longer containmentlarger demand shock',nana ,na,na,na
Mexico,MEX,'Light/Heavy ManufacturingUtilitiesand Construction',1220699.48,'Additional impact under Longer containmentlarger demand shock',nana ,na,na,na
Mexico,MEX,Transport services,1220699.48,'Additional impact under Longer containmentlarger demand shock',nana ,na,na,na
Mexico,MEX,_All,1220699.48,'Additional impact under Longer containmentlarger demand shock',nana ,na,na,na
Malta,MLT,'AgricultureMining and Quarrying',14553.42293,'Additional impact under Longer containmentlarger demand shock',nana ,na,na,na
Malta,MLT,'BusinessTradePersonaland Public Services',14553.42293,'Additional impact under Longer containmentlarger demand shock',nana ,na,na,na
Malta,MLT,Hotel and restaurants and Other Personal Services,14553.42293,'Additional impact under Longer containmentlarger demand shock',nana ,na,na,na
Malta,MLT,'Light/Heavy ManufacturingUtilitiesand Construction',14553.42293,'Additional impact under Longer containmentlarger demand shock',nana ,na,na,na
Malta,MLT,Transport services,14553.42293,'Additional impact under Longer containmentlarger demand shock',nana ,na,na,na
Malta,MLT,_All,14553.42293,'Additional impact under Longer containmentlarger demand shock',nana ,na,na,na
Netherlands,NET,'AgricultureMining and Quarrying',913658.4657,'Additional impact under Longer containmentlarger demand shock',nana ,na,na,na
Netherlands,NET,'BusinessTradePersonaland Public Services',913658.4657,'Additional impact under Longer containmentlarger demand shock',nana ,na,na,na
Netherlands,NET,Hotel and restaurants and Other Personal Services,913658.4657,'Additional impact under Longer containmentlarger demand shock',nana ,na,na,na
Netherlands,NET,'Light/Heavy ManufacturingUtilitiesand Construction',913658.4657,'Additional impact under Longer containmentlarger demand shock',nana ,na,na,na
Netherlands,NET,Transport services,913658.4657,'Additional impact under Longer containmentlarger demand shock',nana ,na,na,na
Netherlands,NET,_All,913658.4657,'Additional impact under Longer containmentlarger demand shock',nana ,na,na,na
Norway,NOR,'AgricultureMining and Quarrying',434166.6154,'Additional impact under Longer containmentlarger demand shock',nana ,na,na,na
Norway,NOR,'BusinessTradePersonaland Public Services',434166.6154,'Additional impact under Longer containmentlarger demand shock',nana ,na,na,na
Norway,NOR,Hotel and restaurants and Other Personal Services,434166.6154,'Additional impact under Longer containmentlarger demand shock',nana ,na,na,na
Norway,NOR,'Light/Heavy ManufacturingUtilitiesand Construction',434166.6154,'Additional impact under Longer containmentlarger demand shock',nana ,na,na,na
Norway,NOR,Transport services,434166.6154,'Additional impact under Longer containmentlarger demand shock',nana ,na,na,na
Norway,NOR,_All,434166.6154,'Additional impact under Longer containmentlarger demand shock',nana ,na,na,na
Poland,POL,'AgricultureMining and Quarrying',585663.8148,'Additional impact under Longer containmentlarger demand shock',nana ,na,na,na
Poland,POL,'BusinessTradePersonaland Public Services',585663.8148,'Additional impact under Longer containmentlarger demand shock',nana ,na,na,na
Poland,POL,Hotel and restaurants and Other Personal Services,585663.8148,'Additional impact under Longer containmentlarger demand shock',nana ,na,na,na
Poland,POL,'Light/Heavy ManufacturingUtilitiesand Construction',585663.8148,'Additional impact under Longer containmentlarger demand shock',nana ,na,na,na
Poland,POL,Transport services,585663.8148,'Additional impact under Longer containmentlarger demand shock',nana ,na,na,na
Poland,POL,_All,585663.8148,'Additional impact under Longer containmentlarger demand shock',nana ,na,na,na
Portugal,POR,'AgricultureMining and Quarrying',240674.5245,'Additional impact under Longer containmentlarger demand shock',nana ,na,na,na
Portugal,POR,'BusinessTradePersonaland Public Services',240674.5245,'Additional impact under Longer containmentlarger demand shock',nana ,na,na,na
Portugal,POR,Hotel and restaurants and Other Personal Services,240674.5245,'Additional impact under Longer containmentlarger demand shock',nana ,na,na,na
Portugal,POR,'Light/Heavy ManufacturingUtilitiesand Construction',240674.5245,'Additional impact under Longer containmentlarger demand shock',nana ,na,na,na
Portugal,POR,Transport services,240674.5245,'Additional impact under Longer containmentlarger demand shock',nana ,na,na,na
Portugal,POR,_All,240674.5245,'Additional impact under Longer containmentlarger demand shock',nana ,na,na,na
Romania,ROM,'AgricultureMining and Quarrying',239552.5167,'Additional impact under Longer containmentlarger demand shock',nana ,na,na,na
Romania,ROM,'BusinessTradePersonaland Public Services',239552.5167,'Additional impact under Longer containmentlarger demand shock',nana ,na,na,na
Romania,ROM,Hotel and restaurants and Other Personal Services,239552.5167,'Additional impact under Longer containmentlarger demand shock',nana ,na,na,na
Romania,ROM,'Light/Heavy ManufacturingUtilitiesand Construction',239552.5167,'Additional impact under Longer containmentlarger demand shock',nana ,na,na,na
Romania,ROM,Transport services,239552.5167,'Additional impact under Longer containmentlarger demand shock',nana ,na,na,na
Romania,ROM,_All,239552.5167,'Additional impact under Longer containmentlarger demand shock',nana ,na,na,na
Russia,RUS,'AgricultureMining and Quarrying',1657554.647,'Additional impact under Longer containmentlarger demand shock',nana ,na,na,na
Russia,RUS,'BusinessTradePersonaland Public Services',1657554.647,'Additional impact under Longer containmentlarger demand shock',nana ,na,na,na
Russia,RUS,Hotel and restaurants and Other Personal Services,1657554.647,'Additional impact under Longer containmentlarger demand shock',nana ,na,na,na
Russia,RUS,'Light/Heavy ManufacturingUtilitiesand Construction',1657554.647,'Additional impact under Longer containmentlarger demand shock',nana ,na,na,na
Russia,RUS,Transport services,1657554.647,'Additional impact under Longer containmentlarger demand shock',nana ,na,na,na
Russia,RUS,_All,1657554.647,'Additional impact under Longer containmentlarger demand shock',nana ,na,na,na
Slovak Republic,SVK,'AgricultureMining and Quarrying',105904.6322,'Additional impact under Longer containmentlarger demand shock',nana ,na,na,na
Slovak Republic,SVK,'BusinessTradePersonaland Public Services',105904.6322,'Additional impact under Longer containmentlarger demand shock',nana ,na,na,na
Slovak Republic,SVK,Hotel and restaurants and Other Personal Services,105904.6322,'Additional impact under Longer containmentlarger demand shock',nana ,na,na,na
Slovak Republic,SVK,'Light/Heavy ManufacturingUtilitiesand Construction',105904.6322,'Additional impact under Longer containmentlarger demand shock',nana ,na,na,na
Slovak Republic,SVK,Transport services,105904.6322,'Additional impact under Longer containmentlarger demand shock',nana ,na,na,na
Slovak Republic,SVK,_All,105904.6322,'Additional impact under Longer containmentlarger demand shock',nana ,na,na,na
Slovenia,SVN,'AgricultureMining and Quarrying',54007.97211,'Additional impact under Longer containmentlarger demand shock',nana ,na,na,na
Slovenia,SVN,'BusinessTradePersonaland Public Services',54007.97211,'Additional impact under Longer containmentlarger demand shock',nana ,na,na,na
Slovenia,SVN,Hotel and restaurants and Other Personal Services,54007.97211,'Additional impact under Longer containmentlarger demand shock',nana ,na,na,na
Slovenia,SVN,'Light/Heavy ManufacturingUtilitiesand Construction',54007.97211,'Additional impact under Longer containmentlarger demand shock',nana ,na,na,na
Slovenia,SVN,Transport services,54007.97211,'Additional impact under Longer containmentlarger demand shock',nana ,na,na,na
Slovenia,SVN,_All,54007.97211,'Additional impact under Longer containmentlarger demand shock',nana ,na,na,na
Sweden,SWE,'AgricultureMining and Quarrying',556086.4889,'Additional impact under Longer containmentlarger demand shock',nana ,na,na,na
Sweden,SWE,'BusinessTradePersonaland Public Services',556086.4889,'Additional impact under Longer containmentlarger demand shock',nana ,na,na,na
Sweden,SWE,Hotel and restaurants and Other Personal Services,556086.4889,'Additional impact under Longer containmentlarger demand shock',nana ,na,na,na
Sweden,SWE,'Light/Heavy ManufacturingUtilitiesand Construction',556086.4889,'Additional impact under Longer containmentlarger demand shock',nana ,na,na,na
Sweden,SWE,Transport services,556086.4889,'Additional impact under Longer containmentlarger demand shock',nana ,na,na,na
Sweden,SWE,_All,556086.4889,'Additional impact under Longer containmentlarger demand shock',nana ,na,na,na
Turkey,TUR,'AgricultureMining and Quarrying',771350.3305,'Additional impact under Longer containmentlarger demand shock',nana ,na,na,na
Turkey,TUR,'BusinessTradePersonaland Public Services',771350.3305,'Additional impact under Longer containmentlarger demand shock',nana ,na,na,na
Turkey,TUR,Hotel and restaurants and Other Personal Services,771350.3305,'Additional impact under Longer containmentlarger demand shock',nana ,na,na,na
Turkey,TUR,'Light/Heavy ManufacturingUtilitiesand Construction',771350.3305,'Additional impact under Longer containmentlarger demand shock',nana ,na,na,na
Turkey,TUR,Transport services,771350.3305,'Additional impact under Longer containmentlarger demand shock',nana ,na,na,na
Turkey,TUR,_All,771350.3305,'Additional impact under Longer containmentlarger demand shock',nana ,na,na,na
Taipei,TAP,'AgricultureMining and Quarrying',608186,'Additional impact under Longer containmentlarger demand shock',-0.06393.39 ,22,-3.73,-3.83
Taipei,TAP,'BusinessTradePersonaland Public Services',608186,'Additional impact under Longer containmentlarger demand shock',-2.15,' 13,058.26 ',204,-4.10,-3.94
Taipei,TAP,Hotel and restaurants and Other Personal Services,608186,'Additional impact under Longer containmentlarger demand shock',-0.27,' 1,653.77 ',72,-4.03,-3.96
Taipei,TAP,'Light/Heavy ManufacturingUtilitiesand Construction',608186,'Additional impact under Longer containmentlarger demand shock',-0.58,' 3,535.07 ',110,-1.60,-2.45
Taipei,TAP,Transport services,608186,'Additional impact under Longer containmentlarger demand shock',-0.06356.40 ,9,-2.09,-1.88
Taipei,TAP,_All,608186,'Additional impact under Longer containmentlarger demand shock',-3.12,' 18,996.90 ',417,-3.12,-3.32
United States,USA,'AgricultureMining and Quarrying',20544343.46,'Additional impact under Longer containmentlarger demand shock',nana ,na,na,na
United States,USA,'BusinessTradePersonaland Public Services',20544343.46,'Additional impact under Longer containmentlarger demand shock',nana ,na,na,na
United States,USA,Hotel and restaurants and Other Personal Services,20544343.46,'Additional impact under Longer containmentlarger demand shock',nana ,na,na,na
United States,USA,'Light/Heavy ManufacturingUtilitiesand Construction',20544343.46,'Additional impact under Longer containmentlarger demand shock',nana ,na,na,na
United States,USA,Transport services,20544343.46,'Additional impact under Longer containmentlarger demand shock',nana ,na,na,na
United States,USA,_All,20544343.46,'Additional impact under Longer containmentlarger demand shock',nana ,na,na,na
Bangladesh,BAN,'AgricultureMining and Quarrying',274024.959,'Additional impact under Longer containmentlarger demand shock',-0.68,' 1,869.79 ',1254,-4.36,-4.32
Bangladesh,BAN,'BusinessTradePersonaland Public Services',274024.959,'Additional impact under Longer containmentlarger demand shock',-1.66,' 4,557.73 ',784,-4.55,-4.66
Bangladesh,BAN,Hotel and restaurants and Other Personal Services,274024.959,'Additional impact under Longer containmentlarger demand shock',-0.50,' 1,373.86 ',140,-4.58,-4.55
Bangladesh,BAN,'Light/Heavy ManufacturingUtilitiesand Construction',274024.959,'Additional impact under Longer containmentlarger demand shock',-1.20,' 3,278.50 ',650,-4.22,-3.92
Bangladesh,BAN,Transport services,274024.959,'Additional impact under Longer containmentlarger demand shock',-0.39,' 1,058.15 ',213,-4.57,-4.57
Bangladesh,BAN,_All,274024.959,'Additional impact under Longer containmentlarger demand shock',-4.43,' 12,138.03 ',3041,-4.43,-4.33
Malaysia,MAL,'AgricultureMining and Quarrying',358581.9434,'Additional impact under Longer containmentlarger demand shock',-0.34,' 1,213.44 ',52,-2.04,-2.70
Malaysia,MAL,'BusinessTradePersonaland Public Services',358581.9434,'Additional impact under Longer containmentlarger demand shock',-1.65,' 5,911.15 ',374,-3.58,-3.66
Malaysia,MAL,Hotel and restaurants and Other Personal Services,358581.9434,'Additional impact under Longer containmentlarger demand shock',-0.21743.40 ,45,-3.98,-3.96
Malaysia,MAL,'Light/Heavy ManufacturingUtilitiesand Construction',358581.9434,'Additional impact under Longer containmentlarger demand shock',-0.61,' 2,174.64 ',94,-2.12,-2.41
Malaysia,MAL,Transport services,358581.9434,'Additional impact under Longer containmentlarger demand shock',-0.09322.60 ,17,-2.56,-2.57
Malaysia,MAL,_All,358581.9434,'Additional impact under Longer containmentlarger demand shock',-2.89,' 10,365.23 ',582,-2.89,-3.26
Philippines,PHI,'AgricultureMining and Quarrying',330910.3436,'Additional impact under Longer containmentlarger demand shock',-0.41,' 1,341.72 ',481,-4.01,-4.04
Philippines,PHI,'BusinessTradePersonaland Public Services',330910.3436,'Additional impact under Longer containmentlarger demand shock',-2.22,' 7,347.76 ',903,-4.25,-4.32
Philippines,PHI,Hotel and restaurants and Other Personal Services,330910.3436,'Additional impact under Longer containmentlarger demand shock',-0.14472.39 ,72,-3.46,-3.38
Philippines,PHI,'Light/Heavy ManufacturingUtilitiesand Construction',330910.3436,'Additional impact under Longer containmentlarger demand shock',-1.22,' 4,038.16 ',326,-4.08,-4.31
Philippines,PHI,Transport services,330910.3436,'Additional impact under Longer containmentlarger demand shock',-0.14477.09 ,50,-4.03,-4.07
Philippines,PHI,_All,330910.3436,'Additional impact under Longer containmentlarger demand shock',-4.13,' 13,677.12 ',1832,-4.13,-4.19
Thailand,THA,'AgricultureMining and Quarrying',504992.7577,'Additional impact under Longer containmentlarger demand shock',-0.20,' 1,010.79 ',448,-2.48,-2.47
Thailand,THA,'BusinessTradePersonaland Public Services',504992.7577,'Additional impact under Longer containmentlarger demand shock',-1.65,' 8,307.83 ',525,-3.52,-3.59
Thailand,THA,Hotel and restaurants and Other Personal Services,504992.7577,'Additional impact under Longer containmentlarger demand shock',-0.44,' 2,196.90 ',57,-3.28,-3.20
Thailand,THA,'Light/Heavy ManufacturingUtilitiesand Construction',504992.7577,'Additional impact under Longer containmentlarger demand shock',-0.83,' 4,196.67 ',250,-2.90,-3.06
Thailand,THA,Transport services,504992.7577,'Additional impact under Longer containmentlarger demand shock',-0.08395.06 ,51,-2.44,-2.40
Thailand,THA,_All,504992.7577,'Additional impact under Longer containmentlarger demand shock',-3.19,' 16,107.26 ',1331,-3.19,-2.97
Viet Nam,VIE,'AgricultureMining and Quarrying',245213.6864,'Additional impact under Longer containmentlarger demand shock',-0.33816.72 ,624,-2.12,-2.41
Viet Nam,VIE,'BusinessTradePersonaland Public Services',245213.6864,'Additional impact under Longer containmentlarger demand shock',-1.23,' 3,010.77 ',416,-3.65,-4.25
Viet Nam,VIE,Hotel and restaurants and Other Personal Services,245213.6864,'Additional impact under Longer containmentlarger demand shock',-0.16388.93 ,94,-3.35,-3.31
Viet Nam,VIE,'Light/Heavy ManufacturingUtilitiesand Construction',245213.6864,'Additional impact under Longer containmentlarger demand shock',-1.04,' 2,557.61 ',414,-2.46,-3.03
Viet Nam,VIE,Transport services,245213.6864,'Additional impact under Longer containmentlarger demand shock',-0.07178.43 ,32,-2.11,-2.29
Viet Nam,VIE,_All,245213.6864,'Additional impact under Longer containmentlarger demand shock',-2.84,' 6,952.47 ',1580,-2.84,-2.95
Kazakhstan,KAZ,'AgricultureMining and Quarrying',179339.9949,'Additional impact under Longer containmentlarger demand shock',-0.36651.75 ,276,-1.67,-4.66
Kazakhstan,KAZ,'BusinessTradePersonaland Public Services',179339.9949,'Additional impact under Longer containmentlarger demand shock',-1.93,' 3,462.92 ',127,-4.33,-4.79
Kazakhstan,KAZ,Hotel and restaurants and Other Personal Services,179339.9949,'Additional impact under Longer containmentlarger demand shock',-0.20363.16 ,14,-5.05,-5.03
Kazakhstan,KAZ,'Light/Heavy ManufacturingUtilitiesand Construction',179339.9949,'Additional impact under Longer containmentlarger demand shock',-0.83,' 1,490.98 ',79,-3.96,-4.39
Kazakhstan,KAZ,Transport services,179339.9949,'Additional impact under Longer containmentlarger demand shock',-0.32568.81 ,10,-3.64,-3.47
Kazakhstan,KAZ,_All,179339.9949,'Additional impact under Longer containmentlarger demand shock',-3.65,' 6,537.62 ',505,-3.65,-4.63
Mongolia,MON,'AgricultureMining and Quarrying',13066.74914,'Additional impact under Longer containmentlarger demand shock',-0.6179.27 ,14,-1.57,-3.48
Mongolia,MON,'BusinessTradePersonaland Public Services',13066.74914,'Additional impact under Longer containmentlarger demand shock',-1.38180.36 ,18,-3.70,-3.81
Mongolia,MON,Hotel and restaurants and Other Personal Services,13066.74914,'Additional impact under Longer containmentlarger demand shock',-0.0810.78 ,3,-3.56,-3.41
Mongolia,MON,'Light/Heavy ManufacturingUtilitiesand Construction',13066.74914,'Additional impact under Longer containmentlarger demand shock',-0.5976.93 ,9,-3.60,-3.87
Mongolia,MON,Transport services,13066.74914,'Additional impact under Longer containmentlarger demand shock',-0.1519.78 ,2,-2.88,-2.79
Mongolia,MON,_All,13066.74914,'Additional impact under Longer containmentlarger demand shock',-2.81367.12 ,46,-2.81,-3.64
Sri Lanka,SRI,'AgricultureMining and Quarrying',88900.77086,'Additional impact under Longer containmentlarger demand shock',-0.46409.85 ,105,-3.92,-4.02
Sri Lanka,SRI,'BusinessTradePersonaland Public Services',88900.77086,'Additional impact under Longer containmentlarger demand shock',-1.96,' 1,740.01 ',161,-5.17,-5.43
Sri Lanka,SRI,Hotel and restaurants and Other Personal Services,88900.77086,'Additional impact under Longer containmentlarger demand shock',-0.65582.02 ,22,-5.19,-4.75
Sri Lanka,SRI,'Light/Heavy ManufacturingUtilitiesand Construction',88900.77086,'Additional impact under Longer containmentlarger demand shock',-1.16,' 1,031.64 ',86,-4.39,-4.06
Sri Lanka,SRI,Transport services,88900.77086,'Additional impact under Longer containmentlarger demand shock',-0.48428.34 ,21,-4.25,-4.25
Sri Lanka,SRI,_All,88900.77086,'Additional impact under Longer containmentlarger demand shock',-4.72,' 4,191.87 ',395,-4.72,-4.57
Pakistan,PAK,'AgricultureMining and Quarrying',314588.2105,'Additional impact under Longer containmentlarger demand shock',-1.28,' 4,036.00 ',1480,-4.79,-4.77
Pakistan,PAK,'BusinessTradePersonaland Public Services',314588.2105,'Additional impact under Longer containmentlarger demand shock',-2.31,' 7,254.34 ',885,-5.44,-5.48
Pakistan,PAK,Hotel and restaurants and Other Personal Services,314588.2105,'Additional impact under Longer containmentlarger demand shock',-0.24753.17 ,80,-5.40,-5.40
Pakistan,PAK,'Light/Heavy ManufacturingUtilitiesand Construction',314588.2105,'Additional impact under Longer containmentlarger demand shock',-0.85,' 2,660.37 ',480,-5.01,-5.43
Pakistan,PAK,Transport services,314588.2105,'Additional impact under Longer containmentlarger demand shock',-0.51,' 1,595.97 ',85,-5.32,-5.22
Pakistan,PAK,_All,314588.2105,'Additional impact under Longer containmentlarger demand shock',-5.18,' 16,299.86 ',3012,-5.18,-5.09
Fiji,FIJ,'AgricultureMining and Quarrying',5536.759659,'Additional impact under Longer containmentlarger demand shock',-0.4927.02 ,7,-4.32,-4.23
Fiji,FIJ,'BusinessTradePersonaland Public Services',5536.759659,'Additional impact under Longer containmentlarger demand shock',-2.73151.18 ,5,-4.89,-4.76
Fiji,FIJ,Hotel and restaurants and Other Personal Services,5536.759659,'Additional impact under Longer containmentlarger demand shock',-0.031.46 ,0,-0.35,-1.57
Fiji,FIJ,'Light/Heavy ManufacturingUtilitiesand Construction',5536.759659,'Additional impact under Longer containmentlarger demand shock',-0.6938.39 ,2,-4.05,-4.44
Fiji,FIJ,Transport services,5536.759659,'Additional impact under Longer containmentlarger demand shock',-0.116.30 ,0,-1.37,-1.64
Fiji,FIJ,_All,5536.759659,'Additional impact under Longer containmentlarger demand shock',-4.05224.34 ,14,-4.05,-4.26
Lao People's Democratic Republic,LAO,'AgricultureMining and Quarrying',17953.78642,'Additional impact under Longer containmentlarger demand shock',-0.74132.69 ,75,-2.99,-3.65
Lao People's Democratic Republic,LAO,'BusinessTradePersonaland Public Services',17953.78642,'Additional impact under Longer containmentlarger demand shock',-1.79320.71 ,45,-4.39,-4.24
Lao People's Democratic Republic,LAO,Hotel and restaurants and Other Personal Services,17953.78642,'Additional impact under Longer containmentlarger demand shock',-0.2239.31 ,5,-4.70,-4.70
Lao People's Democratic Republic,LAO,'Light/Heavy ManufacturingUtilitiesand Construction',17953.78642,'Additional impact under Longer containmentlarger demand shock',-0.68121.84 ,23,-2.39,-3.51
Lao People's Democratic Republic,LAO,Transport services,17953.78642,'Additional impact under Longer containmentlarger demand shock',-0.058.68 ,4,-3.13,-3.31
Lao People's Democratic Republic,LAO,_All,17953.78642,'Additional impact under Longer containmentlarger demand shock',-3.47623.25 ,151,-3.47,-3.80
Brunei Darussalam,BRU,'AgricultureMining and Quarrying',13567.35118,'Additional impact under Longer containmentlarger demand shock',-0.76102.98 ,4,-1.65,-3.92
Brunei Darussalam,BRU,'BusinessTradePersonaland Public Services',13567.35118,'Additional impact under Longer containmentlarger demand shock',-1.43193.92 ,2,-4.32,-4.07
Brunei Darussalam,BRU,Hotel and restaurants and Other Personal Services,13567.35118,'Additional impact under Longer containmentlarger demand shock',-0.068.58 ,0,-3.19,-3.21
Brunei Darussalam,BRU,'Light/Heavy ManufacturingUtilitiesand Construction',13567.35118,'Additional impact under Longer containmentlarger demand shock',-0.3142.30 ,1,-1.80,-3.74
Brunei Darussalam,BRU,Transport services,13567.35118,'Additional impact under Longer containmentlarger demand shock',-0.011.96 ,0,-0.88,-1.10
Brunei Darussalam,BRU,_All,13567.35118,'Additional impact under Longer containmentlarger demand shock',-2.58349.74 ,8,-2.58,-3.83
Bhutan,BHU,'AgricultureMining and Quarrying',2534.965163,'Additional impact under Longer containmentlarger demand shock',-0.9524.04 ,12,-4.17,-4.44
Bhutan,BHU,'BusinessTradePersonaland Public Services',2534.965163,'Additional impact under Longer containmentlarger demand shock',-1.3734.76 ,6,-4.76,-4.50
Bhutan,BHU,Hotel and restaurants and Other Personal Services,2534.965163,'Additional impact under Longer containmentlarger demand shock',-0.051.15 ,0,-1.71,-2.61
Bhutan,BHU,'Light/Heavy ManufacturingUtilitiesand Construction',2534.965163,'Additional impact under Longer containmentlarger demand shock',-1.5940.29 ,3,-4.15,-4.51
Bhutan,BHU,Transport services,2534.965163,'Additional impact under Longer containmentlarger demand shock',-0.297.44 ,1,-3.91,-3.63
Bhutan,BHU,_All,2534.965163,'Additional impact under Longer containmentlarger demand shock',-4.25107.69 ,21,-4.25,-4.39
Kyrgyz Republic,KGZ,'AgricultureMining and Quarrying',8092.836609,'Additional impact under Longer containmentlarger demand shock',-0.6048.84 ,54,-3.73,-3.86
Kyrgyz Republic,KGZ,'BusinessTradePersonaland Public Services',8092.836609,'Additional impact under Longer containmentlarger demand shock',-2.35189.95 ,36,-4.86,-4.77
Kyrgyz Republic,KGZ,Hotel and restaurants and Other Personal Services,8092.836609,'Additional impact under Longer containmentlarger demand shock',-0.2116.93 ,4,-5.34,-5.42
Kyrgyz Republic,KGZ,'Light/Heavy ManufacturingUtilitiesand Construction',8092.836609,'Additional impact under Longer containmentlarger demand shock',-1.0282.81 ,16,-3.80,-3.76
Kyrgyz Republic,KGZ,Transport services,8092.836609,'Additional impact under Longer containmentlarger demand shock',-0.1713.63 ,3,-3.63,-3.63
Kyrgyz Republic,KGZ,_All,8092.836609,'Additional impact under Longer containmentlarger demand shock',-4.35352.16 ,112,-4.35,-4.13
Cambodia,CAM,'AgricultureMining and Quarrying',24542.47406,'Additional impact under Longer containmentlarger demand shock',-0.92226.75 ,190,-3.60,-3.59
Cambodia,CAM,'BusinessTradePersonaland Public Services',24542.47406,'Additional impact under Longer containmentlarger demand shock',-0.97238.13 ,105,-3.50,-3.74
Cambodia,CAM,Hotel and restaurants and Other Personal Services,24542.47406,'Additional impact under Longer containmentlarger demand shock',-0.2355.48 ,9,-2.80,-3.28
Cambodia,CAM,'Light/Heavy ManufacturingUtilitiesand Construction',24542.47406,'Additional impact under Longer containmentlarger demand shock',-0.99244.13 ,54,-3.04,-3.72
Cambodia,CAM,Transport services,24542.47406,'Additional impact under Longer containmentlarger demand shock',-0.1638.43 ,1,-2.69,-2.69
Cambodia,CAM,_All,24542.47406,'Additional impact under Longer containmentlarger demand shock',-3.27802.92 ,358,-3.27,-3.64
Maldives,MLD,'AgricultureMining and Quarrying',5327.45715,'Additional impact under Longer containmentlarger demand shock',-0.063.13 ,2,-2.32,-2.32
Maldives,MLD,'BusinessTradePersonaland Public Services',5327.45715,'Additional impact under Longer containmentlarger demand shock',-1.2868.04 ,2,-3.88,-3.68
Maldives,MLD,Hotel and restaurants and Other Personal Services,5327.45715,'Additional impact under Longer containmentlarger demand shock',-0.084.46 ,0,-0.38,-0.76
Maldives,MLD,'Light/Heavy ManufacturingUtilitiesand Construction',5327.45715,'Additional impact under Longer containmentlarger demand shock',-1.5582.83 ,1,-4.16,-3.89
Maldives,MLD,Transport services,5327.45715,'Additional impact under Longer containmentlarger demand shock',-0.084.05 ,0,-1.53,-1.45
Maldives,MLD,_All,5327.45715,'Additional impact under Longer containmentlarger demand shock',-3.05162.51 ,5,-3.05,-2.87
Nepal,NEP,'AgricultureMining and Quarrying',29040.39898,'Additional impact under Longer containmentlarger demand shock',-1.41409.20 ,444,-4.59,-4.60
